Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter    500 |loss   0.17 |n_ep   121 |ep_len   25.9 |ep_rew  -0.31 |raw_ep_rew   0.93 |env_step   4000 |time 00:30 rem 1002:14
iter  60000 |loss  -0.06 |n_ep  9443 |ep_len   99.4 |ep_rew   1.78 |raw_ep_rew  14.74 |env_step 480000 |time 59:44 rem 935:54
iter  60500 |loss   0.07 |n_ep  9493 |ep_len   73.9 |ep_rew   1.17 |raw_ep_rew  15.69 |env_step 484000 |time 60:13 rem 935:21
iter  61000 |loss   0.05 |n_ep  9533 |ep_len  112.9 |ep_rew   2.15 |raw_ep_rew  15.04 |env_step 488000 |time 60:43 rem 934:46
iter  61500 |loss  -0.02 |n_ep  9573 |ep_len   93.1 |ep_rew   1.81 |raw_ep_rew  16.83 |env_step 492000 |time 61:13 rem 934:11
iter  62000 |loss   0.02 |n_ep  9612 |ep_len  110.7 |ep_rew   2.14 |raw_ep_rew  16.42 |env_step 496000 |time 61:42 rem 933:37
iter  62500 |loss   0.09 |n_ep  9652 |ep_len  105.1 |ep_rew   2.02 |raw_ep_rew  17.70 |env_step 500000 |time 62:12 rem 933:02
iter  63000 |loss  -0.05 |n_ep  9693 |ep_len  115.2 |ep_rew   2.42 |raw_ep_rew  19.59 |env_step 504000 |time 62:41 rem 932:28
iter  63500 |loss   0.04 |n_ep  9733 |ep_len  108.6 |ep_rew   1.93 |raw_ep_rew  18.27 |env_step 508000 |time 63:11 rem 931:55
iter  64000 |loss   0.01 |n_ep  9773 |ep_len  105.0 |ep_rew   2.08 |raw_ep_rew  18.23 |env_step 512000 |time 63:41 rem 931:22
iter  64500 |loss  -0.00 |n_ep  9809 |ep_len  109.9 |ep_rew   2.01 |raw_ep_rew  19.50 |env_step 516000 |time 64:10 rem 930:48
iter  65000 |loss  -0.07 |n_ep  9848 |ep_len  118.7 |ep_rew   2.65 |raw_ep_rew  21.36 |env_step 520000 |time 64:40 rem 930:13
iter  65500 |loss   0.04 |n_ep  9887 |ep_len   90.3 |ep_rew   1.81 |raw_ep_rew  20.43 |env_step 524000 |time 65:09 rem 929:39
iter  66000 |loss   0.03 |n_ep  9924 |ep_len  102.6 |ep_rew   2.31 |raw_ep_rew  19.58 |env_step 528000 |time 65:39 rem 929:06
iter  66500 |loss  -0.01 |n_ep  9965 |ep_len   94.9 |ep_rew   1.75 |raw_ep_rew  19.03 |env_step 532000 |time 66:08 rem 928:32
iter  67000 |loss   0.07 |n_ep 10000 |ep_len  105.4 |ep_rew   2.09 |raw_ep_rew  18.63 |env_step 536000 |time 66:38 rem 927:57
iter  67500 |loss  -0.03 |n_ep 10040 |ep_len  109.6 |ep_rew   2.23 |raw_ep_rew  18.92 |env_step 540000 |time 67:07 rem 927:24
iter  68000 |loss   0.01 |n_ep 10082 |ep_len  109.5 |ep_rew   2.13 |raw_ep_rew  18.62 |env_step 544000 |time 67:37 rem 926:51
iter  68500 |loss  -0.11 |n_ep 10119 |ep_len  112.9 |ep_rew   2.23 |raw_ep_rew  20.25 |env_step 548000 |time 68:07 rem 926:17
iter  69000 |loss  -0.07 |n_ep 10152 |ep_len  111.0 |ep_rew   2.17 |raw_ep_rew  19.29 |env_step 552000 |time 68:36 rem 925:43
iter  69500 |loss   0.18 |n_ep 10194 |ep_len  100.1 |ep_rew   1.93 |raw_ep_rew  19.11 |env_step 556000 |time 69:06 rem 925:11
iter  70000 |loss   0.00 |n_ep 10227 |ep_len  114.2 |ep_rew   2.17 |raw_ep_rew  18.64 |env_step 560000 |time 69:35 rem 924:37
iter  70500 |loss   0.04 |n_ep 10260 |ep_len  112.2 |ep_rew   2.23 |raw_ep_rew  20.12 |env_step 564000 |time 70:05 rem 924:03
iter  71000 |loss  -0.01 |n_ep 10300 |ep_len  110.0 |ep_rew   2.33 |raw_ep_rew  21.15 |env_step 568000 |time 70:34 rem 923:29
iter  71500 |loss  -0.10 |n_ep 10335 |ep_len  113.5 |ep_rew   2.44 |raw_ep_rew  21.91 |env_step 572000 |time 71:04 rem 922:56
iter  72000 |loss  -0.08 |n_ep 10372 |ep_len  105.5 |ep_rew   2.00 |raw_ep_rew  21.07 |env_step 576000 |time 71:33 rem 922:23
iter  72500 |loss  -0.13 |n_ep 10410 |ep_len   97.5 |ep_rew   1.60 |raw_ep_rew  21.11 |env_step 580000 |time 72:03 rem 921:50
iter  73000 |loss   0.01 |n_ep 10448 |ep_len  112.5 |ep_rew   2.12 |raw_ep_rew  17.85 |env_step 584000 |time 72:32 rem 921:16
iter  73500 |loss   0.10 |n_ep 10480 |ep_len  111.9 |ep_rew   2.16 |raw_ep_rew  18.52 |env_step 588000 |time 73:02 rem 920:43
iter  74000 |loss   0.09 |n_ep 10516 |ep_len   95.4 |ep_rew   1.84 |raw_ep_rew  18.01 |env_step 592000 |time 73:32 rem 920:13
iter  74500 |loss  -0.00 |n_ep 10549 |ep_len  120.4 |ep_rew   2.52 |raw_ep_rew  18.23 |env_step 596000 |time 74:01 rem 919:39
iter  75000 |loss   0.00 |n_ep 10589 |ep_len  112.3 |ep_rew   2.24 |raw_ep_rew  19.22 |env_step 600000 |time 74:31 rem 919:06
iter  75500 |loss  -0.07 |n_ep 10623 |ep_len  125.0 |ep_rew   2.69 |raw_ep_rew  19.16 |env_step 604000 |time 75:00 rem 918:33
iter  76000 |loss   0.03 |n_ep 10662 |ep_len  112.4 |ep_rew   2.34 |raw_ep_rew  20.41 |env_step 608000 |time 75:30 rem 918:01
iter  76500 |loss  -0.09 |n_ep 10697 |ep_len  120.6 |ep_rew   2.41 |raw_ep_rew  20.44 |env_step 612000 |time 76:00 rem 917:29
iter  77000 |loss  -0.05 |n_ep 10733 |ep_len   95.7 |ep_rew   1.91 |raw_ep_rew  20.59 |env_step 616000 |time 76:29 rem 916:56
